support,itemsets
0.06950140297863155,frozenset({'LUNCH BAG RED RETROSPOT'})
0.04683790200733866,frozenset({'JAM MAKING SET PRINTED'})
0.026926397582559897,frozenset({'PACK OF 72 SKULL CAKE CASES'})
0.025091733218217137,frozenset({'SET OF 12 FAIRY CAKE BAKING CASES'})
0.024660047485430606,frozenset({'PINK BLUE FELT CRAFT TRINKET BOX'})
0.019371897258795595,frozenset({'SET OF 12 MINI LOAF BAKING CASES'})
0.01586445067990503,frozenset({'SET OF 60 I LOVE LONDON CAKE CASES '})
0.01300453270019426,frozenset({'TEA TIME OVEN GLOVE'})
0.012626807684006043,frozenset({'WATERING CAN PINK BUNNY'})
0.010198575437081804,frozenset({'WATERING CAN GREEN DINOSAUR'})
0.04737750917332182,frozenset({'JAM MAKING SET WITH JARS'})
0.046082451974962226,frozenset({'BAKING SET 9 PIECE RETROSPOT '})
0.022879343837686163,frozenset({'BAKING SET SPACEBOY DESIGN'})
0.021962011655514785,frozenset({'PACK OF 60 SPACEBOY CAKE CASES'})
0.018670407943017484,"frozenset({""POPPY'S PLAYHOUSE KITCHEN""})"
0.017537232894452838,frozenset({'MINI PAINT SET VINTAGE '})
0.01705158644506799,"frozenset({""POPPY'S PLAYHOUSE BEDROOM ""})"
0.016404057845888192,frozenset({'PANTRY WASHING UP BRUSH'})
0.015972372113101662,frozenset({'3 PIECE SPACEBOY COOKIE CUTTER SET'})
0.01359810058277574,"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM ""})"
0.013058493416792575,frozenset({'PANTRY SCRUBBING BRUSH'})
0.010630261169868337,frozenset({'PANTRY ROLLING PIN'})
0.05930282754154975,frozenset({'POSTAGE'})
0.017429311461256206,frozenset({'CHILDRENS CUTLERY POLKADOT PINK'})
0.011385711202244766,frozenset({'CHILDRENS CUTLERY POLKADOT BLUE'})
0.0555255773796676,frozenset({'PACK OF 72 RETROSPOT CAKE CASES'})
0.052126052233973666,frozenset({'LUNCH BAG CARS BLUE'})
0.050237427153032595,frozenset({'LUNCH BAG PINK POLKADOT'})
0.04672998057414202,frozenset({'LUNCH BAG APPLE DESIGN'})
0.040578458881933954,frozenset({'JUMBO BAG ALPHABET'})
0.03895963738398446,frozenset({'VINTAGE SNAP CARDS'})
0.03874379451759119,frozenset({'JUMBO BAG APPLES'})
0.03491258363911073,frozenset({'LUNCH BAG ALPHABET DESIGN'})
0.030865529894236996,frozenset({'HANGING HEART JAR T-LIGHT HOLDER'})
0.030271962011655516,frozenset({'RED  HARMONICA IN BOX '})
0.028545219080509387,frozenset({'PACK OF 60 DINOSAUR CAKE CASES'})
0.027897690481329594,frozenset({'BLUE HARMONICA IN BOX '})
0.02719620116555148,frozenset({'SET OF 60 PANTRY DESIGN CAKE CASES '})
0.025037772501618823,frozenset({'LUNCH BAG DOILEY PATTERN '})
0.024498165335635657,frozenset({'JUMBO BAG DOILEY PATTERNS'})
0.024228361752644076,frozenset({'WOODEN BOX OF DOMINOES'})
0.018130800777034318,frozenset({'SINGLE HEART ZINC T-LIGHT HOLDER'})
0.016835743578674726,frozenset({'BUNDLE OF 3 ALPHABET EXERCISE BOOKS'})
0.01672782214547809,frozenset({'HANGING JAM JAR T-LIGHT HOLDER'})
0.012788689833800992,frozenset({'ZINC T-LIGHT HOLDER STARS SMALL'})
0.011871357651629614,frozenset({'LARGE CERAMIC TOP STORAGE JAR'})
0.010522339736671703,frozenset({'MEDIUM CERAMIC TOP STORAGE JAR'})
0.09189510036693287,frozenset({'REGENCY CAKESTAND 3 TIER'})
0.07441182818907835,frozenset({'PARTY BUNTING'})
0.05412259874811137,frozenset({'SPOTTY BUNTING'})
0.053313187999136626,frozenset({'LUNCH BAG SPACEBOY DESIGN '})
0.04257500539607166,frozenset({'ALARM CLOCK BAKELIKE GREEN'})
0.03874379451759119,frozenset({'SET OF 3 REGENCY CAKE TINS'})
0.03226850852579322,frozenset({'LUNCH BAG DOLLY GIRL DESIGN'})
0.03221454780919491,frozenset({'LUNCH BAG VINTAGE LEAF DESIGN'})
0.030595726311245415,frozenset({'PAPER BUNTING RETROSPOT'})
0.019371897258795595,frozenset({'ALARM CLOCK BAKELIKE ORANGE'})
0.01645801856248651,frozenset({'SET OF 60 VINTAGE LEAF CAKE CASES '})
0.010684221886466653,frozenset({'GLASS APOTHECARY BOTTLE PERFUME'})
0.03496654435570904,frozenset({'DOORMAT KEEP CALM AND COME IN'})
0.03410317289013598,frozenset({'POPCORN HOLDER'})
0.0298942369954673,frozenset({'GINGERBREAD MAN COOKIE CUTTER'})
0.018292682926829267,frozenset({'ZINC FOLKART SLEIGH BELLS'})
0.01764515432764947,frozenset({'PLAYING CARDS KEEP CALM & CARRY ON'})
0.01732139002805957,frozenset({'CLEAR DRAWER KNOB ACRYLIC EDWARDIAN'})
0.012626807684006043,frozenset({'CALENDAR PAPER CUT DESIGN'})
0.0114936326354414,frozenset({'SILVER BELLS TABLE DECORATION'})
